FILE_NAME,File name,Slice no,Qty Good
WMAP_84P19U29.22_RE.txt,P19U29-22.txt,84P19U29-22,7761
WMAP_84P19U29.23_RE.txt,P19U29-23.txt,84P19U29-23,7875
WMAP_84P19U29.24_RE.txt,P19U29-24.txt,84P19U29-24,7893
WMAP_84P19U29.25_RE.txt,P19U29-25.txt,84P19U29-25,7915
