WAFER_ID,FILENAME,QTY
S96898-01-B6,S96898-01.txt,6435
S96898-02-E1,S96898-02.txt,6419
S96898-03-G4,S96898-03.txt,6445
S96898-04-B4,S96898-04.txt,6440
