FILE_NAME;VERSID;TIMEST;MAPTYP;DESIGN;LOTMEA;REFCNT;REFBIN;REFTP1;REFPX1;REFPY1;REFTP2;REFPX2;REFPY2;REFTP3;REFPX3;REFPY3;FNLOC1;ORLOC1;ROWCNT;COLCNT;WAFDIA;XDIES1;YDIES1;PASBIN;SUMPAS;COMPRE;SKIPDI;MAPID1
WMAP_ZA238056_ZA238056.10_RW;3.2;20220909085926;e;M2315A;ZA238056;3;X;m;57;137;m;134;137;m;134;8;270;3;144;189;200;0.980;1.316;1;21509;1;.,X;ZA238056.10
WMAP_ZA238056_ZA238056.11_RW;3.2;20220909085926;e;M2315A;ZA238056;3;X;m;57;137;m;134;137;m;134;8;270;3;144;189;200;0.980;1.316;1;21460;1;.,X;ZA238056.11
WMAP_ZA238056_ZA238056.12_RW;3.2;20220909085926;e;M2315A;ZA238056;3;X;m;57;137;m;134;137;m;134;8;270;3;144;189;200;0.980;1.316;1;21614;1;.,X;ZA238056.12
